kernel,m,density,nnz,gflops,ai_flop_per_byte,ceiling_gflops,pct_fp32_peak,pct_roofline,eff_dram_bw_gbs,pct_dram_bw,bound,B_fits_L2
memopt_v2,4096,,167686,410.93,8.808841424251042,2818.8292557603336,5.048280098280098,14.578037997876473,46.65621828626137,14.580068214456679,memory,True
tiled,4096,,167686,524.02,8.808841424251042,2818.8292557603336,6.437592137592137,18.589987276780057,59.50234432234432,18.5944826007326,memory,True
tiled_v2,4096,,167686,537.78,8.808841424251042,2818.8292557603336,6.606633906633907,19.078133196646654,61.068195488721805,19.083811090225563,memory,True
tiled_v3,4096,,167686,511.24,8.808841424251042,2818.8292557603336,6.280589680589681,18.136607563415588,58.04933889219774,18.140418403811793,memory,True
tiled_v4,4096,,167686,454.59,8.808841424251042,2818.8292557603336,5.584643734643735,16.12690797326714,51.5959978824775,16.123749338274216,memory,True
wmma,4096,,167686,43.98,8.808841424251042,2818.8292557603336,0.5402948402948403,1.5602222060852389,4.992820039956969,1.5602562624865528,memory,True
baseline,4096,,16935,78.79,1.0152502038528064,324.88006523289806,0.967936117936118,24.252026649747656,77.6406909090909,24.262715909090907,memory,True
memopt,4096,,16935,103.3,1.0152502038528064,324.88006523289806,1.269041769041769,31.796349193031254,101.79351609058403,31.81047377830751,memory,True
memopt_v2,4096,,16935,102.68,1.0152502038528064,324.88006523289806,1.2614250614250615,31.605509536693603,101.19047393364929,31.622023104265402,memory,True
tiled,4096,,16935,132.11,1.0152502038528064,324.88006523289806,1.6229729729729732,40.66423709478567,130.19018292682927,40.684432164634146,memory,True
tiled_v2,4096,,16935,144.51,1.0152502038528064,324.88006523289806,1.7753071253071253,44.48103022153869,142.34126666666666,44.48164583333333,memory,True
tiled_v3,4096,,16935,141.05,1.0152502038528064,324.88006523289806,1.732800982800983,43.41602181681567,138.86952845528455,43.39672764227642,memory,True
tiled_v4,4096,,16935,145.91,1.0152502038528064,324.88006523289806,1.7925061425061426,44.911958477785,143.77905723905724,44.93095538720539,memory,True
wmma,4096,,16935,12.46,1.0152502038528064,324.88006523289806,0.15307125307125308,3.835261480592153,12.269036058037639,3.8340737681367623,memory,True
baseline,8192,,3354625,154.23,39.35135226284114,8140.0,1.8947174447174444,1.8947174447174444,3.919273380325955,1.224772931351861,compute/L2,False
memopt,8192,,3354625,180.62,39.35135226284114,8140.0,2.218918918918919,2.218918918918919,4.589926493012104,1.4343520290662826,compute/L2,False
memopt_v2,8192,,3354625,171.0,39.35135226284114,8140.0,2.1007371007371005,2.1007371007371005,4.3455349906910525,1.357979684590954,compute/L2,False
tiled,8192,,3354625,367.49,39.35135226284114,8140.0,4.514619164619164,4.514619164619164,9.338651204587274,2.918328501433523,compute/L2,False
tiled_v2,8192,,3354625,333.8,39.35135226284114,8140.0,4.100737100737101,4.100737100737101,8.482555242444855,2.650798513264017,compute/L2,False
tiled_v3,8192,,3354625,398.04,39.35135226284114,8140.0,4.88992628992629,4.88992628992629,10.11517682502897,3.160992757821553,compute/L2,False
tiled_v4,8192,,3354625,429.47,39.35135226284114,8140.0,5.276044226044226,5.276044226044226,10.913656889955742,3.4105177781111693,compute/L2,False
wmma,8192,,3354625,166.41,39.35135226284114,8140.0,2.0443488943488943,2.0443488943488943,4.228703689350488,1.3214699029220276,compute/L2,False
baseline,8192,,671114,198.49,15.492669519227734,4957.654246152875,2.4384520884520886,4.003708006745884,12.812027034833344,4.00375844838542,memory,False
memopt,8192,,671114,177.32,15.492669519227734,4957.654246152875,2.1783783783783783,3.576691539907201,11.445402002270615,3.5766881257095675,memory,False
memopt_v2,8192,,671114,176.8,15.492669519227734,4957.654246152875,2.171990171990172,3.566202708411872,11.411834319526628,3.5661982248520716,memory,False
tiled,8192,,671114,356.99,15.492669519227734,4957.654246152875,4.385626535626535,7.2007845298413695,23.043012987012986,7.200941558441558,memory,False
tiled_v2,8192,,671114,269.58,15.492669519227734,4957.654246152875,3.311793611793612,5.4376522971361565,17.40067472148125,5.43771085046289,memory,False
tiled_v3,8192,,671114,373.06,15.492669519227734,4957.654246152875,4.583046683046683,7.524929764706634,24.0787102377592,7.524596949299751,memory,False
tiled_v4,8192,,671114,367.94,15.492669519227734,4957.654246152875,4.5201474201474205,7.421655116137241,23.748688296391478,7.421465092622337,memory,False
wmma,8192,,671114,36.02,15.492669519227734,4957.654246152875,0.44250614250614256,0.7265532893495228,2.325271015495586,0.7266471923423706,memory,False
baseline,8192,,67137,136.6,1.9815517120917845,634.0965478693711,1.6781326781326782,21.542460759168286,68.94707472178061,21.54596085055644,memory,False
memopt,8192,,67137,129.08,1.9815517120917845,634.0965478693711,1.585749385749386,20.356521484578643,65.14113405933158,20.35660439354112,memory,False
memopt_v2,8192,,67137,128.88,1.9815517120917845,634.0965478693711,1.5832923832923833,20.32498054642466,65.04343457067867,20.326073303337086,memory,False
tiled,8192,,67137,150.47,1.9815517120917845,634.0965478693711,1.8485257985257986,23.729824820146792,75.95045534150613,23.734517294220666,memory,False
tiled_v2,8192,,67137,166.21,1.9815517120917845,634.0965478693711,2.041891891891892,26.21209665286501,83.88338491295939,26.21355778529981,memory,False
tiled_v3,8192,,67137,164.4,1.9815517120917845,634.0965478693711,2.01965601965602,25.926651162571492,82.96070779531324,25.92522118603539,memory,False
tiled_v4,8192,,67137,153.65,1.9815517120917845,634.0965478693711,1.8875921375921376,24.23132573679507,77.54619579794367,24.233186186857395,memory,False
wmma,8192,,67137,15.8,1.9815517120917845,634.0965478693711,0.1941031941031941,2.4917341141644136,7.975670804597701,2.492397126436782,memory,False
baseline,16384,,13421456,127.82,48.73896386182385,8140.0,1.5702702702702702,1.5702702702702702,2.6226266143598274,0.819570816987446,compute/L2,False
memopt,16384,,13421456,138.02,48.73896386182385,8140.0,1.6955773955773958,1.6955773955773958,2.831828023507578,0.8849462573461182,compute/L2,False
memopt_v2,16384,,13421456,133.97,48.73896386182385,8140.0,1.6458230958230957,1.6458230958230957,2.7486532747958856,0.8589541483737143,compute/L2,False
tiled,16384,,13421456,201.16,48.73896386182385,8140.0,2.4712530712530714,2.4712530712530714,4.127208114397787,1.2897525357493085,compute/L2,False
tiled_v2,16384,,13421456,224.13,48.73896386182385,8140.0,2.7534398034398033,2.7534398034398033,4.598537512923963,1.4370429727887386,compute/L2,False
tiled_v3,16384,,13421456,227.26,48.73896386182385,8140.0,2.791891891891892,2.791891891891892,4.662714257840275,1.4570982055750858,compute/L2,False
tiled_v4,16384,,13421456,254.52,48.73896386182385,8140.0,3.1267813267813267,3.1267813267813267,5.222163289343561,1.6319260279198626,compute/L2,False
